,id,nuclear_id,nuclear_area,nuclear_avg,nuclear_stdev,number_nucleoli,nucleolar_area,nucleolar_avg,nucleolar_stdev,third_nucavg,third_nucstdev,third_nuclavg,third_nuclstdev
20,20,6,2327.0,1274.5204843780195,1428.6865183713296,2,109.0,6281.992237384586,1566.4139071252832,1030.8263731998597,1600.3482685259041,6607.829578010361,1330.3823427157856
21,21,7,3026.0,2000.7887424050675,1734.7476170869593,4,157.0,6825.236063861408,1542.5517790592676,2272.657294020006,3457.8814332670963,10365.281128918894,1781.7742265122065
22,22,7,3026.0,2000.7887424050675,1734.7476170869593,4,9.0,5860.500422326624,535.5824304819015,2272.657294020006,3457.8814332670963,11396.038165680147,1967.416791691984
23,23,7,3026.0,2000.7887424050675,1734.7476170869593,4,74.0,6545.122453399274,889.6494321078286,2272.657294020006,3457.8814332670963,13371.468024745382,1642.3300101733605
24,24,7,3026.0,2000.7887424050675,1734.7476170869593,4,20.0,6079.2413658870155,828.0734806809845,2272.657294020006,3457.8814332670963,9412.030287123935,1225.0593567750782
25,25,8,1772.0,1963.9513857307356,1649.9315892680963,2,197.0,5712.875124395893,1355.2331480709247,2321.2930896977623,3314.862889480286,10068.38675131055,2381.9704532143373
26,26,8,1772.0,1963.9513857307356,1649.9315892680963,2,38.0,4722.627719752883,847.0004957577227,2321.2930896977623,3314.862889480286,8570.419857311408,1892.7223053524558
27,27,9,2261.0,1810.9720738168612,1598.2586882747712,3,124.0,5701.156037434338,1341.893955082467,1926.6272743048046,3108.383587551735,9555.058773908446,2050.2237936632896
28,28,9,2261.0,1810.9720738168612,1598.2586882747712,3,73.0,5992.81998873644,1498.7756629301857,1926.6272743048046,3108.383587551735,9324.297483378547,2662.5632257885554
29,29,9,2261.0,1810.9720738168612,1598.2586882747712,3,58.0,5649.850085407785,1327.3967597230317,1926.6272743048046,3108.383587551735,11018.96293946425,2125.9037052138556
